Category|Subcategory|Delta|Atomic weight
Standard atomic weight||[-7.44;6.26]|[24.304;24.307]

Water|Sea water|[-1;-0.69]|[24.30541;24.30548]
Water|Rivers and streams|[-1.82;-0.08]|[24.30523;24.30561]
Water|Rain|[-0.75;-0.5]|[24.30547;24.30552]
Igneous and metamorphic rock|Olivine|[-3.01;1.03]|[24.30497;24.30586]
Igneous and metamorphic rock|Others|[-0.75;0.14]|[24.30547;24.30566]
Carbonates (biological and non-biological origin)||[-5.57;-1.04]|[24.30441;24.3054]
Organic matter||[-3.55;0.73]|[24.30485;24.30579]
Elemental magnesium||[-0.82;0.54]|[24.30545;24.30575]
