Category|Subcategory|Delta|Atomic weight
Standard atomic weight||[-5.84;6.17]|[79.901;79.907]


Inorganic bromide|Sea water|[0;0]|[79.9039;79.9039]
Inorganic bromide|Saline waters & slat deposits|[-0.8;3.35]|[79.9035;79.9056]
Organic compounds||[-4.3;0.2]|[79.9018;79.904]
Elemental bromine||[-1.34;0.86]|[79.9033;79.9044]
