Category|Subcategory|Delta|Atomic weight
Standard atomic weight||[-3.19;4.03]|[204.382;204.385]

Igneous rocks||[-0.18;0.35]|[204.38326;204.38348]
Sedimentary rocks||[0.33;1.43]|[204.38347;204.38393]
Reagents||[-0.14;0.02]|[204.38327;204.38334]
